symbol,date,open,high,low,close,prev_close,total_trade,volume,delivery_qty,delivery_per,vwap
BSOFT,2025-04-21,371.55,389.75,371.4,388.2,371.55,43413,2983492,871780,29.22,382.41
BSOFT,2025-04-22,390.0,390.0,382.05,382.9,388.2,27337,1541317,583464,37.85,385.05
BSOFT,2025-04-23,390.0,401.0,388.3,399.65,382.9,65091,5205915,1565356,30.07,395.75
BSOFT,2025-04-24,400.0,402.7,394.3,395.45,399.65,30714,2090872,868086,41.52,398.44
BSOFT,2025-04-25,395.0,403.95,382.6,386.05,395.45,40881,2993690,625536,20.9,393.17
BSOFT,2025-04-28,388.9,391.6,383.1,390.0,386.05,25019,1180593,346997,29.39,387.94
BSOFT,2025-04-29,392.0,398.9,390.9,397.75,390.0,25808,1216492,449010,36.91,395.46
BSOFT,2025-04-30,399.8,400.2,387.5,390.2,397.75,19517,1112991,385071,34.6,393.94
BALKRISIND,2025-04-01,2564.0,2584.9,2515.9,2523.55,2554.8,18275,136364,54856,40.23,2543.42
BALKRISIND,2025-04-02,2522.0,2577.65,2511.6,2567.1,2523.55,17309,179614,115180,64.13,2552.51
BALKRISIND,2025-04-03,2538.0,2538.0,2452.05,2481.85,2567.1,35354,413289,219709,53.16,2484.71
BALKRISIND,2025-04-04,2460.5,2474.0,2372.4,2388.05,2481.85,34991,506413,299607,59.16,2402.24
BALKRISIND,2025-04-07,2152.05,2295.0,2152.05,2273.2,2388.05,44441,718412,410131,57.09,2260.37
BALKRISIND,2025-04-08,2291.0,2332.25,2273.5,2320.1,2273.2,28738,618936,458717,74.11,2305.12
BALKRISIND,2025-04-09,2325.8,2326.95,2231.55,2280.6,2320.1,27298,319655,180160,56.36,2279.1
BALKRISIND,2025-04-11,2370.0,2370.0,2312.45,2337.5,2280.6,31055,345899,182358,52.72,2339.46
BALKRISIND,2025-04-15,2390.0,2504.8,2360.0,2493.2,2337.5,52662,677918,357004,52.66,2442.94
BALKRISIND,2025-04-16,2495.0,2515.5,2471.8,2490.2,2493.2,18225,162181,58466,36.05,2490.53
BALKRISIND,2025-04-17,2495.0,2518.8,2468.0,2503.9,2490.2,11432,108472,54739,50.46,2494.54
BALKRISIND,2025-04-21,2503.7,2538.0,2466.1,2526.7,2503.9,13440,187025,105445,56.38,2511.54
BALKRISIND,2025-04-22,2526.7,2545.9,2504.2,2535.2,2526.7,9849,85371,30792,36.07,2529.62
BALKRISIND,2025-04-23,2547.0,2585.0,2538.6,2577.0,2535.2,17102,157427,66834,42.45,2565.95
BALKRISIND,2025-04-24,2577.0,2615.2,2555.5,2578.0,2577.0,16413,126270,51062,40.44,2576.66
BALKRISIND,2025-04-25,2578.1,2606.5,2481.8,2518.2,2578.0,31172,478982,258122,53.89,2523.79
BALKRISIND,2025-04-28,2520.9,2586.0,2502.5,2577.6,2518.2,16005,109531,37850,34.56,2555.94
BALKRISIND,2025-04-29,2582.0,2609.0,2565.4,2597.7,2577.6,14630,105285,49091,46.63,2594.24
BALKRISIND,2025-04-30,2621.5,2690.0,2575.0,2675.1,2597.7,62676,571639,218691,38.26,2663.81
BANDHANBNK,2025-04-01,146.1,150.67,144.6,149.48,146.28,32774,5940678,2435283,40.99,149.07
BANDHANBNK,2025-04-02,149.25,151.89,146.95,151.53,149.48,26589,4921586,1700113,34.54,150.3
BANDHANBNK,2025-04-03,150.0,157.6,149.71,156.6,151.53,50377,8993065,2750657,30.59,154.85
BANDHANBNK,2025-04-04,157.5,157.89,151.51,153.05,156.6,62438,10702221,4055505,37.89,153.68
BANDHANBNK,2025-04-07,145.01,146.88,141.5,144.96,153.05,76773,8015769,2518102,31.41,144.18
BANDHANBNK,2025-04-08,148.0,150.99,148.0,150.0,144.96,36723,5022455,1272325,25.33,149.45
BANDHANBNK,2025-04-09,153.5,153.5,143.28,146.86,150.0,39079,8752215,1620410,18.51,146.86
BANDHANBNK,2025-04-11,150.0,150.6,148.01,149.68,146.86,20375,4225688,1722104,40.75,149.46
BANDHANBNK,2025-04-15,152.0,154.54,150.55,154.07,149.68,37942,4280618,1667372,38.95,153.18
BANDHANBNK,2025-04-16,154.6,159.29,154.07,158.41,154.07,56100,13568380,7234208,53.32,157.16
BANDHANBNK,2025-04-17,158.41,159.95,157.51,158.79,158.41,39882,6713315,2748255,40.94,158.75
BANDHANBNK,2025-04-21,159.35,168.68,159.09,167.94,158.79,177934,19552485,10808964,55.28,165.84
BANDHANBNK,2025-04-22,167.94,171.5,165.75,168.54,167.94,71177,12272511,6502586,52.98,169.27
BANDHANBNK,2025-04-23,169.1,171.7,166.25,170.59,168.54,62049,11183261,6272645,56.09,169.53
BANDHANBNK,2025-04-24,169.98,172.1,169.05,170.73,170.59,50672,6493362,3049904,46.97,170.81
BANDHANBNK,2025-04-25,170.73,171.76,163.52,165.45,170.73,39326,7861418,3001226,38.18,167.15
BANDHANBNK,2025-04-28,164.86,166.86,161.76,164.26,165.45,46281,10358436,3857588,37.24,163.9
BANDHANBNK,2025-04-29,165.5,171.84,165.5,167.9,164.26,68675,15769341,4652001,29.5,168.86
BANDHANBNK,2025-04-30,167.5,167.84,163.53,165.62,167.9,39904,8904205,2859795,32.12,165.53
BAJAJFINSV,2025-04-01,1998.0,2002.0,1932.5,1937.1,2007.35,134764,2125921,993292,46.72,1957.73
BAJAJFINSV,2025-04-02,1946.3,1963.5,1920.95,1930.95,1937.1,48639,1057344,491537,46.49,1942.2
BAJAJFINSV,2025-04-03,1915.0,1950.0,1904.95,1920.45,1930.95,71288,1598430,783433,49.01,1927.12
BAJAJFINSV,2025-04-04,1912.0,1929.95,1897.0,1912.3,1920.45,77607,2120708,1200593,56.61,1915.68
BAJAJFINSV,2025-04-07,1835.0,1894.0,1823.5,1852.65,1912.3,113616,2594074,1574465,60.69,1853.13
BAJAJFINSV,2025-04-08,1890.0,1934.0,1873.7,1903.2,1852.65,112746,3182018,1593553,50.08,1904.64
BAJAJFINSV,2025-04-09,1899.0,1918.3,1878.0,1895.7,1903.2,87029,1394829,712602,51.09,1895.76
BAJAJFINSV,2025-04-11,1909.45,1966.0,1906.55,1946.3,1895.7,97508,1880510,888783,47.26,1949.06
BAJAJFINSV,2025-04-15,1984.0,1984.0,1960.8,1968.0,1946.3,70250,1250872,747653,59.77,1970.86
BAJAJFINSV,2025-04-16,1961.0,1975.7,1949.6,1969.2,1968.0,75492,1033717,474060,45.86,1961.09
BAJAJFINSV,2025-04-17,1961.5,2039.7,1955.0,2035.3,1969.2,106220,2104540,967926,45.99,2005.06
BAJAJFINSV,2025-04-21,2037.1,2118.7,2035.7,2103.5,2035.3,120077,2642028,1272942,48.18,2090.4
BAJAJFINSV,2025-04-22,2104.0,2110.0,2070.0,2077.0,2103.5,89910,1447675,739009,51.05,2086.66
BAJAJFINSV,2025-04-23,2094.0,2117.8,2057.4,2100.8,2077.0,92289,1483177,647694,43.67,2090.83
BAJAJFINSV,2025-04-24,2121.8,2135.0,2085.4,2105.0,2100.8,80988,1465968,609473,41.57,2101.84
BAJAJFINSV,2025-04-25,2105.0,2125.0,2023.1,2045.5,2105.0,121923,1960343,1042815,53.2,2057.39
BAJAJFINSV,2025-04-28,2040.0,2094.8,2040.0,2049.7,2045.5,94363,6311008,5436973,86.15,2051.58
BAJAJFINSV,2025-04-29,2061.0,2082.0,2028.8,2066.9,2049.7,129661,2119823,1141869,53.87,2059.03
BAJAJFINSV,2025-04-30,2018.2,2020.0,1926.5,1951.6,2066.9,270995,4684518,1601359,34.18,1945.95
BAJFINANCE,2025-04-01,8783.3,8925.0,8671.0,8698.2,8945.6,126566,1183424,730002,61.69,8761.66
BAJFINANCE,2025-04-02,8730.0,8759.85,8612.0,8669.25,8698.2,73065,646495,373071,57.71,8683.17
BAJFINANCE,2025-04-03,8650.0,8765.0,8460.2,8594.6,8669.25,148865,1396633,663046,47.47,8597.51
BAJFINANCE,2025-04-04,8656.0,8797.0,8583.8,8718.85,8594.6,155607,1849658,913091,49.37,8709.85
BAJFINANCE,2025-04-07,8340.0,8600.5,8307.15,8568.0,8718.85,159133,1398124,675851,48.34,8451.39
BAJFINANCE,2025-04-08,8650.0,8873.0,8650.0,8822.25,8568.0,140461,1477563,668926,45.27,8790.59
BAJFINANCE,2025-04-09,8815.0,8842.0,8625.0,8735.8,8822.25,138514,1048774,579324,55.24,8722.67
